sample_id,journey_id,timestamp,train_id,train_number,train_name,zone,current_station_code,current_station_name,next_station_code,next_station_name,latitude,longitude,current_delay_minutes,previous_station_delay,current_speed_kmph,distance_to_next_station_km,distance_remaining_km,scheduled_remaining_time_minutes,weather_score,rainfall_mm,congestion_score,speed_restriction_score,signal_delay_score,upcoming_station_count,hour_of_day,day_of_week,month,remaining_travel_time_minutes
JRN_229017_20260801_ST01,JRN_229017_20260801,2026-08-01T00:03:00,229017,229017,Ahmedabad - Visakhapatnam Humsafar Express,WR,ADI,Ahmedabad JN,ASR,Amritsar JN,25.0,80.0,3.8,0.0,73.4,92.8,575.3,421.0,0.0,0.0,0.27,0.0,0.0,7,0,5,8,438.0
JRN_125058_20260801_ST09,JRN_125058_20260801,2026-08-01T00:07:00,125058,125058,Ajmer - Visakhapatnam Jan Shatabdi,NER,PURI,Puri,SC,Secunderabad JN,29.0,86.4,0.0,0.0,79.9,90.1,206.1,150.8,0.1,5.0,0.06,0.25,0.3,3,0,5,8,167.8
JRN_124078_20260801_ST03,JRN_124078_20260801,2026-08-01T00:08:00,124078,124078,Ambala - Varanasi Garib Rath Express,NR,GHY,Guwahati,JP,Jaipur,26.0,81.6,6.2,2.0,87.6,67.8,758.9,555.3,0.2,0.0,0.11,0.0,0.0,8,0,5,8,588.2
JRN_229084_20260801_ST03,JRN_229084_20260801,2026-08-01T00:15:00,229084,229084,Amritsar - Visakhapatnam Humsafar Express,WR,HYB,Hyderabad,JU,Jodhpur JN,26.0,81.6,7.5,8.6,81.2,99.0,469.1,343.3,0.0,0.0,0.28,0.0,0.0,5,0,5,8,333.1
JRN_124023_20260801_ST03,JRN_124023_20260801,2026-08-01T00:17:00,124023,124023,Amritsar - Ranchi Garib Rath Express,NR,SBC,Bengaluru City,BBS,Bhubaneswar,26.0,81.6,6.7,8.2,50.4,63.6,661.1,483.7,0.0,0.0,0.62,0.0,0.0,7,0,5,8,499.1
JRN_120069_20260801_ST05,JRN_120069_20260801,2026-08-01T00:20:00,120069,120069,Ahmedabad - Visakhapatnam Shatabdi Express,NR,BE,Bareilly,MAS,Chennai Central,27.0,83.2,15.3,16.2,88.7,64.6,863.3,631.7,0.1,5.0,0.14,0.0,0.3,10,0,5,8,657.1
JRN_128040_20260801_ST02,JRN_128040_20260801,2026-08-01T00:28:00,128040,128040,Ajmer - Varanasi Superfast Express,SER,UMB,Ambala Cantt,ASR,Amritsar JN,25.5,80.8,11.7,6.3,75.0,96.5,850.1,622.0,0.0,0.0,0.23,0.0,0.0,10,0,5,8,637.0
JRN_208078_20260801_ST08,JRN_208078_20260801,2026-08-01T00:29:00,208078,208078,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,PNBE,Patna JN,RNC,Ranchi,28.5,85.6,9.7,5.7,92.5,59.8,241.0,176.3,0.1,5.0,0.33,0.0,0.0,3,0,5,8,195.7
JRN_120037_20260801_ST04,JRN_120037_20260801,2026-08-01T00:30:00,120037,120037,Ajmer - Varanasi Shatabdi Express,NR,MAS,Chennai Central,GHY,Guwahati,13.0827,80.2707,24.8,18.7,59.7,77.6,931.6,681.7,0.0,0.0,0.37,0.0,0.3,11,0,5,8,688.7
JRN_124037_20260801_ST09,JRN_124037_20260801,2026-08-01T00:36:00,124037,124037,Ambala - Udaipur Garib Rath Express,NR,PUNE,Pune JN,SC,Secunderabad JN,29.0,86.4,35.8,35.0,92.8,94.9,193.3,141.4,0.0,0.0,0.28,0.25,0.0,2,0,5,8,141.3
JRN_208080_20260801_ST07,JRN_208080_20260801,2026-08-01T00:40:00,208080,208080,Ahmedabad - Visakhapatnam Vande Bharat,ECoR,JP,Jaipur,LDH,Ludhiana JN,28.0,84.8,19.1,13.6,53.8,85.7,692.2,506.5,0.0,0.0,0.24,0.0,0.3,8,0,5,8,536.0
JRN_229013_20260801_ST07,JRN_229013_20260801,2026-08-01T00:40:00,229013,229013,Ajmer - Varanasi Humsafar Express,WR,PUNE,Pune JN,RNC,Ranchi,28.0,84.8,0.0,4.3,75.3,64.0,330.1,241.6,0.1,5.0,0.12,0.25,0.0,4,0,5,8,260.1
JRN_12302_20260801_ST01,JRN_12302_20260801,2026-08-01T00:45:00,12302,12302,New Delhi Rajdhani Express,NR,NDLS,New Delhi,CNB,Kanpur Central,28.6139,77.209,0.4,0.0,88.7,90.2,638.1,466.9,0.2,0.0,0.13,0.0,0.0,7,0,5,8,495.5
JRN_128010_20260801_ST01,JRN_128010_20260801,2026-08-01T00:50:00,128010,128010,Ajmer - Varanasi Superfast Express,SER,AII,Ajmer JN,ASR,Amritsar JN,25.0,80.0,0.0,0.0,67.9,118.2,950.9,695.8,0.0,0.0,0.29,0.0,0.0,9,0,5,8,711.8
JRN_124059_20260801_ST05,JRN_124059_20260801,2026-08-01T00:51:00,124059,124059,Amritsar - Visakhapatnam Garib Rath Express,NR,GHY,Guwahati,JUC,Jalandhar City,27.0,83.2,21.7,13.1,53.7,117.5,801.6,586.5,0.0,0.0,0.16,0.25,0.8,9,0,5,8,591.6
JRN_208095_20260801_ST06,JRN_208095_20260801,2026-08-01T00:54:00,208095,208095,Ajmer - Visakhapatnam Vande Bharat,ECoR,JUC,Jalandhar City,JU,Jodhpur JN,27.5,84.0,8.1,8.2,66.5,105.1,699.0,511.4,0.1,5.0,0.48,0.0,0.0,8,0,5,8,564.0
JRN_128068_20260801_ST07,JRN_128068_20260801,2026-08-01T01:02:00,128068,128068,Ambala - Visakhapatnam Superfast Express,SER,MB,Moradabad,PURI,Puri,28.0,84.8,44.1,34.7,68.8,74.6,465.2,340.4,0.0,0.0,0.48,0.0,0.0,6,1,5,8,371.6
JRN_128040_20260801_ST03,JRN_128040_20260801,2026-08-01T01:04:00,128040,128040,Ajmer - Varanasi Superfast Express,SER,ASR,Amritsar JN,ANVT,Anand Vihar,26.0,81.6,15.2,11.7,92.8,56.1,753.5,551.4,0.0,0.0,0.04,0.0,0.0,9,1,5,8,562.8
JRN_120012_20260801_ST02,JRN_120012_20260801,2026-08-01T01:10:00,120012,120012,Ambala - Visakhapatnam Shatabdi Express,NR,ASR,Amritsar JN,BBS,Bhubaneswar,25.5,80.8,2.4,4.6,104.6,87.4,764.6,559.4,0.0,0.0,0.33,0.0,0.0,9,1,5,8,568.4
JRN_12565_20260801_ST01,JRN_12565_20260801,2026-08-01T01:12:00,12565,12565,Bihar Sampark Kranti Express,ECR,DBG,Darbhanga JN,SPJ,Samastipur JN,25.0,80.0,2.0,0.0,58.2,101.8,1050.4,768.6,0.0,0.0,0.81,0.0,0.0,12,1,5,8,823.3
JRN_128036_20260801_ST11,JRN_128036_20260801,2026-08-01T01:17:00,128036,128036,Ajmer - Visakhapatnam Superfast Express,SER,UDZ,Udaipur City,BSB,Varanasi JN,30.0,88.0,46.9,36.9,82.7,73.2,190.2,139.2,0.0,0.0,0.29,0.0,0.0,2,1,5,8,141.3
